# x_0,  x_1,  x_2,  x_3,    y
    0,    0,    0,    0,    1
    0,    0,    0,    1,    1
    0,    0,    1,    0,    1
    0,    0,    1,    1,    1
    0,    1,    0,    0,    1
    0,    1,    0,    1,    1
    0,    1,    1,    0,    1
    0,    1,    1,    1,    1
    1,    0,    0,    0,    1
    1,    0,    0,    1,    1
    1,    0,    1,    0,    1
    1,    0,    1,    1,    1
    1,    1,    0,    0,    1
    1,    1,    0,    1,    1
    1,    1,    1,    0,    1
    1,    1,    1,    1,    0
# nand(x_3, and(x_2, and(x_0, x_1))),-
