# x_0,  x_1,  x_2,  x_3,  x_4,  x_5,  x_6,  x_7,    y
    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    1,    1
    0,    0,    0,    0,    0,    0,    1,    0,    1
    0,    0,    0,    0,    0,    0,    1,    1,    1
    0,    0,    0,    0,    0,    1,    0,    0,    0
    0,    0,    0,    0,    0,    1,    0,    1,    1
    0,    0,    0,    0,    0,    1,    1,    0,    1
    0,    0,    0,    0,    0,    1,    1,    1,    1
    0,    0,    0,    0,    1,    0,    0,    0,    0
    0,    0,    0,    0,    1,    0,    0,    1,    1
    0,    0,    0,    0,    1,    0,    1,    0,    1
    0,    0,    0,    0,    1,    0,    1,    1,    1
    0,    0,    0,    0,    1,    1,    0,    0,    0
    0,    0,    0,    0,    1,    1,    0,    1,    1
    0,    0,    0,    0,    1,    1,    1,    0,    1
    0,    0,    0,    0,    1,    1,    1,    1,    1
    0,    0,    0,    1,    0,    0,    0,    0,    0
    0,    0,    0,    1,    0,    0,    0,    1,    1
    0,    0,    0,    1,    0,    0,    1,    0,    1
    0,    0,    0,    1,    0,    0,    1,    1,    1
    0,    0,    0,    1,    0,    1,    0,    0,    0
    0,    0,    0,    1,    0,    1,    0,    1,    1
    0,    0,    0,    1,    0,    1,    1,    0,    1
    0,    0,    0,    1,    0,    1,    1,    1,    1
    0,    0,    0,    1,    1,    0,    0,    0,    0
    0,    0,    0,    1,    1,    0,    0,    1,    1
    0,    0,    0,    1,    1,    0,    1,    0,    1
    0,    0,    0,    1,    1,    0,    1,    1,    1
    0,    0,    0,    1,    1,    1,    0,    0,    0
    0,    0,    0,    1,    1,    1,    0,    1,    1
    0,    0,    0,    1,    1,    1,    1,    0,    1
    0,    0,    0,    1,    1,    1,    1,    1,    1
    0,    0,    1,    0,    0,    0,    0,    0,    0
    0,    0,    1,    0,    0,    0,    0,    1,    1
    0,    0,    1,    0,    0,    0,    1,    0,    1
    0,    0,    1,    0,    0,    0,    1,    1,    1
    0,    0,    1,    0,    0,    1,    0,    0,    0
    0,    0,    1,    0,    0,    1,    0,    1,    1
    0,    0,    1,    0,    0,    1,    1,    0,    1
    0,    0,    1,    0,    0,    1,    1,    1,    1
    0,    0,    1,    0,    1,    0,    0,    0,    0
    0,    0,    1,    0,    1,    0,    0,    1,    1
    0,    0,    1,    0,    1,    0,    1,    0,    1
    0,    0,    1,    0,    1,    0,    1,    1,    1
    0,    0,    1,    0,    1,    1,    0,    0,    0
    0,    0,    1,    0,    1,    1,    0,    1,    1
    0,    0,    1,    0,    1,    1,    1,    0,    1
    0,    0,    1,    0,    1,    1,    1,    1,    1
    0,    0,    1,    1,    0,    0,    0,    0,    0
    0,    0,    1,    1,    0,    0,    0,    1,    1
    0,    0,    1,    1,    0,    0,    1,    0,    1
    0,    0,    1,    1,    0,    0,    1,    1,    1
    0,    0,    1,    1,    0,    1,    0,    0,    0
    0,    0,    1,    1,    0,    1,    0,    1,    1
    0,    0,    1,    1,    0,    1,    1,    0,    1
    0,    0,    1,    1,    0,    1,    1,    1,    1
    0,    0,    1,    1,    1,    0,    0,    0,    0
    0,    0,    1,    1,    1,    0,    0,    1,    1
    0,    0,    1,    1,    1,    0,    1,    0,    1
    0,    0,    1,    1,    1,    0,    1,    1,    1
    0,    0,    1,    1,    1,    1,    0,    0,    0
    0,    0,    1,    1,    1,    1,    0,    1,    1
    0,    0,    1,    1,    1,    1,    1,    0,    1
    0,    0,    1,    1,    1,    1,    1,    1,    1
    0,    1,    0,    0,    0,    0,    0,    0,    0
    0,    1,    0,    0,    0,    0,    0,    1,    1
    0,    1,    0,    0,    0,    0,    1,    0,    1
    0,    1,    0,    0,    0,    0,    1,    1,    1
    0,    1,    0,    0,    0,    1,    0,    0,    0
    0,    1,    0,    0,    0,    1,    0,    1,    1
    0,    1,    0,    0,    0,    1,    1,    0,    1
    0,    1,    0,    0,    0,    1,    1,    1,    1
    0,    1,    0,    0,    1,    0,    0,    0,    0
    0,    1,    0,    0,    1,    0,    0,    1,    1
    0,    1,    0,    0,    1,    0,    1,    0,    1
    0,    1,    0,    0,    1,    0,    1,    1,    1
    0,    1,    0,    0,    1,    1,    0,    0,    0
    0,    1,    0,    0,    1,    1,    0,    1,    1
    0,    1,    0,    0,    1,    1,    1,    0,    1
    0,    1,    0,    0,    1,    1,    1,    1,    1
    0,    1,    0,    1,    0,    0,    0,    0,    0
    0,    1,    0,    1,    0,    0,    0,    1,    1
    0,    1,    0,    1,    0,    0,    1,    0,    1
    0,    1,    0,    1,    0,    0,    1,    1,    1
    0,    1,    0,    1,    0,    1,    0,    0,    0
    0,    1,    0,    1,    0,    1,    0,    1,    1
    0,    1,    0,    1,    0,    1,    1,    0,    1
    0,    1,    0,    1,    0,    1,    1,    1,    1
    0,    1,    0,    1,    1,    0,    0,    0,    1
    0,    1,    0,    1,    1,    0,    0,    1,    1
    0,    1,    0,    1,    1,    0,    1,    0,    0
    0,    1,    0,    1,    1,    0,    1,    1,    1
    0,    1,    0,    1,    1,    1,    0,    0,    0
    0,    1,    0,    1,    1,    1,    0,    1,    1
    0,    1,    0,    1,    1,    1,    1,    0,    1
    0,    1,    0,    1,    1,    1,    1,    1,    1
    0,    1,    1,    0,    0,    0,    0,    0,    0
    0,    1,    1,    0,    0,    0,    0,    1,    1
    0,    1,    1,    0,    0,    0,    1,    0,    1
    0,    1,    1,    0,    0,    0,    1,    1,    1
    0,    1,    1,    0,    0,    1,    0,    0,    0
    0,    1,    1,    0,    0,    1,    0,    1,    1
    0,    1,    1,    0,    0,    1,    1,    0,    1
    0,    1,    1,    0,    0,    1,    1,    1,    1
    0,    1,    1,    0,    1,    0,    0,    0,    0
    0,    1,    1,    0,    1,    0,    0,    1,    1
    0,    1,    1,    0,    1,    0,    1,    0,    1
    0,    1,    1,    0,    1,    0,    1,    1,    1
    0,    1,    1,    0,    1,    1,    0,    0,    0
    0,    1,    1,    0,    1,    1,    0,    1,    1
    0,    1,    1,    0,    1,    1,    1,    0,    1
    0,    1,    1,    0,    1,    1,    1,    1,    1
    0,    1,    1,    1,    0,    0,    0,    0,    0
    0,    1,    1,    1,    0,    0,    0,    1,    1
    0,    1,    1,    1,    0,    0,    1,    0,    1
    0,    1,    1,    1,    0,    0,    1,    1,    1
    0,    1,    1,    1,    0,    1,    0,    0,    0
    0,    1,    1,    1,    0,    1,    0,    1,    1
    0,    1,    1,    1,    0,    1,    1,    0,    1
    0,    1,    1,    1,    0,    1,    1,    1,    1
    0,    1,    1,    1,    1,    0,    0,    0,    0
    0,    1,    1,    1,    1,    0,    0,    1,    1
    0,    1,    1,    1,    1,    0,    1,    0,    1
    0,    1,    1,    1,    1,    0,    1,    1,    1
    0,    1,    1,    1,    1,    1,    0,    0,    0
    0,    1,    1,    1,    1,    1,    0,    1,    1
    0,    1,    1,    1,    1,    1,    1,    0,    1
    0,    1,    1,    1,    1,    1,    1,    1,    1
    1,    0,    0,    0,    0,    0,    0,    0,    0
    1,    0,    0,    0,    0,    0,    0,    1,    1
    1,    0,    0,    0,    0,    0,    1,    0,    1
    1,    0,    0,    0,    0,    0,    1,    1,    1
    1,    0,    0,    0,    0,    1,    0,    0,    0
    1,    0,    0,    0,    0,    1,    0,    1,    1
    1,    0,    0,    0,    0,    1,    1,    0,    1
    1,    0,    0,    0,    0,    1,    1,    1,    1
    1,    0,    0,    0,    1,    0,    0,    0,    0
    1,    0,    0,    0,    1,    0,    0,    1,    1
    1,    0,    0,    0,    1,    0,    1,    0,    1
    1,    0,    0,    0,    1,    0,    1,    1,    1
    1,    0,    0,    0,    1,    1,    0,    0,    0
    1,    0,    0,    0,    1,    1,    0,    1,    1
    1,    0,    0,    0,    1,    1,    1,    0,    1
    1,    0,    0,    0,    1,    1,    1,    1,    1
    1,    0,    0,    1,    0,    0,    0,    0,    0
    1,    0,    0,    1,    0,    0,    0,    1,    1
    1,    0,    0,    1,    0,    0,    1,    0,    1
    1,    0,    0,    1,    0,    0,    1,    1,    1
    1,    0,    0,    1,    0,    1,    0,    0,    0
    1,    0,    0,    1,    0,    1,    0,    1,    1
    1,    0,    0,    1,    0,    1,    1,    0,    1
    1,    0,    0,    1,    0,    1,    1,    1,    1
    1,    0,    0,    1,    1,    0,    0,    0,    1
    1,    0,    0,    1,    1,    0,    0,    1,    1
    1,    0,    0,    1,    1,    0,    1,    0,    0
    1,    0,    0,    1,    1,    0,    1,    1,    1
    1,    0,    0,    1,    1,    1,    0,    0,    0
    1,    0,    0,    1,    1,    1,    0,    1,    1
    1,    0,    0,    1,    1,    1,    1,    0,    1
    1,    0,    0,    1,    1,    1,    1,    1,    1
    1,    0,    1,    0,    0,    0,    0,    0,    0
    1,    0,    1,    0,    0,    0,    0,    1,    1
    1,    0,    1,    0,    0,    0,    1,    0,    1
    1,    0,    1,    0,    0,    0,    1,    1,    1
    1,    0,    1,    0,    0,    1,    0,    0,    0
    1,    0,    1,    0,    0,    1,    0,    1,    1
    1,    0,    1,    0,    0,    1,    1,    0,    1
    1,    0,    1,    0,    0,    1,    1,    1,    1
    1,    0,    1,    0,    1,    0,    0,    0,    0
    1,    0,    1,    0,    1,    0,    0,    1,    1
    1,    0,    1,    0,    1,    0,    1,    0,    1
    1,    0,    1,    0,    1,    0,    1,    1,    1
    1,    0,    1,    0,    1,    1,    0,    0,    0
    1,    0,    1,    0,    1,    1,    0,    1,    1
    1,    0,    1,    0,    1,    1,    1,    0,    1
    1,    0,    1,    0,    1,    1,    1,    1,    1
    1,    0,    1,    1,    0,    0,    0,    0,    0
    1,    0,    1,    1,    0,    0,    0,    1,    1
    1,    0,    1,    1,    0,    0,    1,    0,    1
    1,    0,    1,    1,    0,    0,    1,    1,    1
    1,    0,    1,    1,    0,    1,    0,    0,    0
    1,    0,    1,    1,    0,    1,    0,    1,    1
    1,    0,    1,    1,    0,    1,    1,    0,    1
    1,    0,    1,    1,    0,    1,    1,    1,    1
    1,    0,    1,    1,    1,    0,    0,    0,    0
    1,    0,    1,    1,    1,    0,    0,    1,    1
    1,    0,    1,    1,    1,    0,    1,    0,    1
    1,    0,    1,    1,    1,    0,    1,    1,    1
    1,    0,    1,    1,    1,    1,    0,    0,    0
    1,    0,    1,    1,    1,    1,    0,    1,    1
    1,    0,    1,    1,    1,    1,    1,    0,    1
    1,    0,    1,    1,    1,    1,    1,    1,    1
    1,    1,    0,    0,    0,    0,    0,    0,    0
    1,    1,    0,    0,    0,    0,    0,    1,    1
    1,    1,    0,    0,    0,    0,    1,    0,    1
    1,    1,    0,    0,    0,    0,    1,    1,    1
    1,    1,    0,    0,    0,    1,    0,    0,    0
    1,    1,    0,    0,    0,    1,    0,    1,    1
    1,    1,    0,    0,    0,    1,    1,    0,    1
    1,    1,    0,    0,    0,    1,    1,    1,    1
    1,    1,    0,    0,    1,    0,    0,    0,    0
    1,    1,    0,    0,    1,    0,    0,    1,    1
    1,    1,    0,    0,    1,    0,    1,    0,    1
    1,    1,    0,    0,    1,    0,    1,    1,    1
    1,    1,    0,    0,    1,    1,    0,    0,    0
    1,    1,    0,    0,    1,    1,    0,    1,    1
    1,    1,    0,    0,    1,    1,    1,    0,    1
    1,    1,    0,    0,    1,    1,    1,    1,    1
    1,    1,    0,    1,    0,    0,    0,    0,    0
    1,    1,    0,    1,    0,    0,    0,    1,    1
    1,    1,    0,    1,    0,    0,    1,    0,    1
    1,    1,    0,    1,    0,    0,    1,    1,    1
    1,    1,    0,    1,    0,    1,    0,    0,    0
    1,    1,    0,    1,    0,    1,    0,    1,    1
    1,    1,    0,    1,    0,    1,    1,    0,    1
    1,    1,    0,    1,    0,    1,    1,    1,    1
    1,    1,    0,    1,    1,    0,    0,    0,    1
    1,    1,    0,    1,    1,    0,    0,    1,    1
    1,    1,    0,    1,    1,    0,    1,    0,    0
    1,    1,    0,    1,    1,    0,    1,    1,    1
    1,    1,    0,    1,    1,    1,    0,    0,    0
    1,    1,    0,    1,    1,    1,    0,    1,    1
    1,    1,    0,    1,    1,    1,    1,    0,    1
    1,    1,    0,    1,    1,    1,    1,    1,    1
    1,    1,    1,    0,    0,    0,    0,    0,    0
    1,    1,    1,    0,    0,    0,    0,    1,    1
    1,    1,    1,    0,    0,    0,    1,    0,    1
    1,    1,    1,    0,    0,    0,    1,    1,    1
    1,    1,    1,    0,    0,    1,    0,    0,    0
    1,    1,    1,    0,    0,    1,    0,    1,    1
    1,    1,    1,    0,    0,    1,    1,    0,    1
    1,    1,    1,    0,    0,    1,    1,    1,    1
    1,    1,    1,    0,    1,    0,    0,    0,    0
    1,    1,    1,    0,    1,    0,    0,    1,    1
    1,    1,    1,    0,    1,    0,    1,    0,    1
    1,    1,    1,    0,    1,    0,    1,    1,    1
    1,    1,    1,    0,    1,    1,    0,    0,    0
    1,    1,    1,    0,    1,    1,    0,    1,    1
    1,    1,    1,    0,    1,    1,    1,    0,    1
    1,    1,    1,    0,    1,    1,    1,    1,    1
    1,    1,    1,    1,    0,    0,    0,    0,    0
    1,    1,    1,    1,    0,    0,    0,    1,    1
    1,    1,    1,    1,    0,    0,    1,    0,    1
    1,    1,    1,    1,    0,    0,    1,    1,    1
    1,    1,    1,    1,    0,    1,    0,    0,    0
    1,    1,    1,    1,    0,    1,    0,    1,    1
    1,    1,    1,    1,    0,    1,    1,    0,    1
    1,    1,    1,    1,    0,    1,    1,    1,    1
    1,    1,    1,    1,    1,    0,    0,    0,    0
    1,    1,    1,    1,    1,    0,    0,    1,    1
    1,    1,    1,    1,    1,    0,    1,    0,    1
    1,    1,    1,    1,    1,    0,    1,    1,    1
    1,    1,    1,    1,    1,    1,    0,    0,    0
    1,    1,    1,    1,    1,    1,    0,    1,    1
    1,    1,    1,    1,    1,    1,    1,    0,    1
    1,    1,    1,    1,    1,    1,    1,    1,    1
# or(x_7, xor(x_6, nor(x_5, nand(x_4, and(x_3, nor(x_2, nor(x_0, x_1))))))),-
